,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
325,Al1 Ti1 Mo1 Pd1 Hf1,AlTiMoPdHf,SS,SS,-3.335408303875105,35.13299104348977,91.38625099312662
326,Al1 Ti1 Mo1 Nb1 Hf1,AlTiNbMoHf,SS,SS,-5.023034235138697,40.17157245023454,85.2027894051107
327,Al1 Ti1 V1 Pd1 Nb1,AlTiVNbPd,SS,SS,-3.184698836386467,39.18808480609979,91.47287152895814
328,Al1 Ti1 V1 Pd1 Hf1,AlTiVPdHf,SS,SS,-4.9011340552829505,40.66855719284203,95.85975932181123
329,Al1 Ti1 V1 Nb1 Hf1,AlTiVNbHf,SS,SS,-9.181954789543681,50.50779876238525,84.13619813577739
330,Al1 Ti1 Pd1 Nb1 Hf1,AlTiNbPdHf,SS,SS,-5.02903996644747,40.301480792937014,96.10540116029301
331,Al1 Mo1 V1 Pd1 Nb1,AlVNbMoPd,SS,SS,-3.1772280794949963,35.95003712607025,84.00144460770187
332,Al1 Mo1 V1 Pd1 Hf1,AlVMoPdHf,SS,SS,-3.5899242844997956,35.710198469979666,87.62152059080351
333,Al1 Mo1 V1 Nb1 Hf1,AlVNbMoHf,SS,SS,-4.321993937822468,39.0160877428199,81.67523316835042
334,Al1 Mo1 Pd1 Nb1 Hf1,AlNbMoPdHf,SS,SS,-2.273372009348185,35.539289694807465,87.52706898035638
335,Al1 V1 Pd1 Nb1 Hf1,AlVNbPdHf,SS,SS,-3.839497095081262,40.36398181543869,95.02308778012356
336,Cr1 Ta1 Zr1 Ti1 Mo1,TiCrZrMoTa,SS,SS+IM,-6.070646352109862,42.84614778372333,90.03762561117328
337,Cr1 Ta1 Zr1 Ti1 V1,TiVCrZrTa,SS,SS+IM,-9.252034977953286,55.54163809971308,84.4573953901924
338,Cr1 Ta1 Zr1 Ti1 Pd1,TiCrZrPdTa,SS,SS,-5.447270899724964,44.67588759833347,105.18254617184635
